username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
v_e_e_r_333,Siddasai VéÈr,0,0,14,0,209,217,0,1,0,1,14,6,827,41,15.0,12,68.91666666666667
aj_z_al,AJZAL UL AZEEZ RAZAK,0,0,98,0,1143,837,1,25,1,0,52,41,5685,557,20.0,12,473.75
hotshot_designs._,HOTSHOT DESIGNS🌼,0,0,70,0,371,38,1,0,1,0,29,219,1198,254,16.0,12,99.83333333333333
__imty._.s,🍁,0,0,2,0,1621,331,0,0,0,1,0,0,0,0,1.0,0,0.0
de_moto_gokz,gokZz🤪,0,0,117,0,335,188,0,4,0,1,5,72,618,103,6.0,5,123.6
tann._.mann,Thanmayee prasad,0,0,42,0,944,998,0,17,0,1,56,21,4859,153,16.0,12,404.9166666666667
chandhess_chachu,RV Chandhess Chachu,0,0,45,0,277,197,0,2,0,0,10,1,752,19,19.0,10,75.2
kl.9_leeds_fc,KL-9 LEEDS FC,0,0,124,0,138,16,0,0,1,0,0,0,0,0,13.0,0,0.0
thenauticalone,Prithvi Syam D S💫,0,0,133,0,1119,900,1,12,0,0,21,69,3745,384,17.0,12,312.0833333333333
__uwaiz__,Muhammed Uwaiz,0,0,0,0,915,558,0,7,0,1,3,0,721,35,14.0,3,240.33333333333334
___87_______,0,0,1,0,0,510,180,0,0,0,0,0,0,0,0,0.0,0,0.0
puja_sasidharan,puja✨,0,0,1,0,1016,696,1,0,0,1,7,9,2399,356,5.0,7,342.7142857142857
shi____fa__,SHIFA,0,0,1,0,844,674,0,8,0,1,9,6,2755,303,5.0,9,306.1111111111111
__abhi1_,😍أبشيك⛹️‍♂️,0,0,112,0,5204,3596,1,3,1,0,21,111,9475,1295,12.0,12,789.5833333333334
vintage_of_kl__,costumes of kerala,0,0,81,0,315,943,0,1,0,0,32,14,1028,78,18.0,12,85.66666666666667
ini_enth_venam,Ini Enth Venam 🤙,0,0,92,0,367,1268,0,0,0,0,108,0,986,10,16.0,12,82.16666666666667
__daanylji__,__ARJUN...,0,0,73,0,3400,3115,0,0,1,0,0,0,0,0,10.0,0,0.0
_.x3._.boy._,RAFIK MUHAMMED,0,0,143,0,326,157,0,5,1,0,0,0,0,0,14.0,0,0.0
devadath____pramod___,DevÂdath🍀🍁。。,0,0,0,0,424,724,0,0,0,0,12,1,1322,29,13.0,12,110.16666666666667
vintage____gallery,🌼VINTAGE____GALLERY🌼,0,0,137,0,7762,5074,0,0,1,0,8,135,2831,245,20.0,8,353.875
sandrahh__._,•𝓈𝒶𝓃𝒹𝓇𝒶 •,0,0,67,1,999,649,0,13,0,1,9,15,3498,243,9.0,9,388.6666666666667
misfal_pk,MISFAL.,0,0,14,0,1163,940,1,12,0,0,0,0,0,0,7.0,0,0.0
mr.akshith_aj,Akshith Sanjeev | India 🇮🇳,0,0,79,0,1421,1248,1,14,1,0,125,88,2860,299,26.0,12,238.33333333333334
___ma___world__,hey,0,0,0,0,33,10,1,0,0,0,6,6,158,13,3.0,6,26.333333333333332
ashik_c_k,Ashik Ck,0,0,0,0,363,457,0,0,0,1,2,1,290,21,8.0,2,145.0
_cycle___rider___,Suhad_ shamil,0,0,54,0,1685,1424,0,1,1,0,30,50,6108,303,13.0,12,509.0
ammu____zzz,Ananya,0,0,45,0,1273,539,0,6,0,1,6,35,3574,396,6.0,6,595.6666666666666
jhonywalke.r,Sreevishnu,0,0,34,0,1331,776,0,3,0,1,9,19,3294,324,10.0,9,366.0
_rooith.raj,Rᴏʜɪᴛʜ ʀᴀᴊ,0,0,42,0,1198,1020,0,1,0,1,10,11,1876,258,10.0,10,187.6
rashid_c___,Rashid c,0,0,45,0,6375,2746,1,0,1,0,187,8,4195,254,8.0,12,349.5833333333333
haripriya6930,haripriya 🥀,0,0,140,0,71,2432,0,2,0,1,11,0,138,6,11.0,11,12.545454545454545
_____eldho,Neeraj,0,0,0,0,1540,1069,1,2,0,0,6,21,2545,155,6.0,6,424.1666666666667
bad__boy__369,|| A S W I N ||,0,0,149,1,3169,1911,0,16,1,0,16,248,7427,1156,15.0,12,618.9166666666666
_vintage_modle,boss⚠,0,0,118,0,305,3501,0,0,1,0,88,53,960,109,5.0,12,80.0
s4r.4ng,S ∆ R ∆ N G,0,0,45,0,846,604,0,1,0,1,6,37,1380,146,11.0,6,230.0
sachozzz,VISHAK V,0,0,127,0,113,223,0,6,0,1,15,22,245,31,8.0,12,20.416666666666668
m_h_d_cp,Muhammed C.P,0,0,19,0,1047,1295,0,4,1,0,5,4,1165,110,12.0,5,233.0
_.monjathi_,മൊഞ്ചത്തി👧,0,0,122,0,179,488,0,0,1,0,7,17,354,38,11.0,7,50.57142857142857
royal.______lover,Abhinav C. M,0,0,0,0,81,251,0,1,0,0,4,0,94,0,12.0,4,23.5
_shmr__c._,shameerc 🎭,0,0,68,0,7187,3532,0,2,1,0,0,0,0,0,10.0,0,0.0
_jiyad._,Jiyad,0,0,25,0,1024,689,1,8,0,1,116,9,2659,248,6.0,12,221.58333333333334
amishasharmag87,AmiShA,0,0,18,0,833,578,0,3,0,1,3,0,229,22,6.0,3,76.33333333333333
_riiichu_,हृदुन  मनोहर  🥀,0,0,99,0,1274,1335,1,30,0,1,300,6,3321,118,15.0,12,276.75
semi______deen,شميمة مؤدين 🥀,0,0,0,0,1604,274,0,5,0,1,0,0,0,0,14.0,0,0.0
fidha_anan,0,0,0,8,0,2593,403,0,13,0,1,0,0,0,0,0.0,0,0.0
m_o_z_a_c_o_b_o_y,✿TD 2  >°🆅🅸🆂🅷🅽🆄 🅳🅰🆂°<,0,0,26,0,2332,1248,1,32,1,0,142,191,5060,1660,21.0,12,421.6666666666667
__fari_03,fari,0,0,41,0,992,1029,0,4,0,0,15,30,1794,158,4.0,12,149.5
narjees_narji,narjees narji,0,0,59,0,299,250,0,2,0,1,0,0,0,0,13.0,0,0.0
adarsh_dinesan,KM adarsh,0,0,13,0,772,937,0,10,0,1,7,0,994,22,9.0,7,142.0
abin.me_,#💟🐥,0,0,25,1,3217,1500,1,9,1,0,15,20,2920,261,3.0,12,243.33333333333334
ms_cuts__,😎,0,0,7,0,125,1075,0,0,1,0,0,0,0,0,1.0,0,0.0
jamal_z_,0,0,0,0,0,396,3068,0,0,0,0,2,0,23,0,0.0,2,11.5
muhd_jinas._,🦋  محمد جناس 🦋,0,0,89,0,2558,672,0,5,1,0,17,53,4446,767,14.0,12,370.5
sujanya_,Sujanya Reddy💜,0,0,38,0,1001,894,0,4,0,1,21,15,4594,341,14.0,12,382.8333333333333
___a__s__h__i_,@$#id,0,0,44,0,371,291,0,3,0,0,3,12,303,20,5.0,3,101.0
muhsin_junga,Alhamdulillah,0,0,4,1,2903,504,0,4,1,0,70,18,10348,298,13.0,12,862.3333333333334
moo__za,ꜱʜᴀʜᴇᴇʟ,0,0,24,0,4078,2383,1,4,1,0,70,28,5614,379,7.0,12,467.8333333333333
461f___,Arif,0,0,0,0,1106,418,1,16,1,0,164,36,1779,219,4.0,12,148.25
nivas__mohd,Nivas Mohammed,0,0,0,0,1957,1315,1,12,0,0,106,39,2569,475,14.0,12,214.08333333333334
_my_koyilandy_,MY_KOYILANDY,0,0,107,0,1886,1700,0,3,0,0,195,2,2015,9,12.0,12,167.91666666666666
___.__ayesha__.___,Ayesha sreejith,0,0,36,0,790,666,0,13,0,1,4,14,839,151,15.0,4,209.75
ray_an_arif,🔥R∆Y∆N●∆RIF,0,0,18,0,1552,1892,0,3,0,0,12,12,5185,199,11.0,12,432.0833333333333
ig.villian8,A M B R O,0,0,52,0,2320,579,0,3,1,0,0,0,0,0,9.0,0,0.0
__la_lu____,L a l U,0,0,61,0,556,784,0,4,0,0,26,7,1056,34,7.0,12,88.0
zawin_crafts__,0,0,0,0,0,96,0,0,0,0,1,33,0,386,3,0.0,12,32.166666666666664
_shaan__.__,sanal,0,0,0,0,2339,1936,0,0,1,0,17,20,5084,236,5.0,12,423.6666666666667
_a_j_73,AJITH,0,0,0,0,1840,518,0,2,0,1,64,2,1413,174,5.0,12,117.75
safasafu_,𝐒𝐀𝐅𝐀🌸,0,0,83,0,3427,49,0,3,1,0,4,19,2686,150,5.0,4,671.5
zemi_zm_._,سم بشىر .❗,0,0,14,0,1426,1059,0,4,1,0,32,12,3366,397,10.0,12,280.5
_x.root_,【﻿Ашик】,0,0,14,0,1643,439,0,8,0,0,0,0,0,0,7.0,0,0.0
akshaylinson,أ كشا ي,0,0,61,0,3033,1635,1,15,1,0,42,21,3862,186,8.0,12,321.8333333333333
i_am_rubbana,Halima Begum,0,0,97,1,1508,157,0,2,1,0,38,0,1836,179,12.0,12,153.0
aysha_surumi_,ayshu😁,0,0,134,0,1761,6854,0,42,0,1,14,0,3959,123,6.0,12,329.9166666666667
shanenigaminsta,shane nigam fans page®,0,0,103,0,1752,643,0,12,1,0,97,31,2684,55,22.0,12,223.66666666666666
ashidank_____,Ⓐ︎Ⓢ︎Ⓗ︎Ⓘ︎,0,0,148,0,1085,662,1,12,0,1,8,16,3531,826,8.0,8,441.375
sha__hid__84,شاهد ارفان🌺🌸,0,0,53,0,1067,1382,0,0,0,0,27,53,2915,253,12.0,12,242.91666666666666
aleenapradeepan,Aleena Pradeepan,0,0,85,0,525,269,0,1,0,1,9,11,2590,246,16.0,9,287.77777777777777
__.sb.___,SHAMNAD BHASI 😎,0,0,81,0,4736,2664,1,6,1,0,254,22,7671,297,15.0,12,639.25
fathimah_zubair,🌸,0,1,15,0,115,119,0,0,0,1,0,0,0,0,1.0,0,0.0
swaalyy,Salih | 🇮🇳,0,0,12,0,24986,987,0,6,0,0,0,0,0,0,10.0,0,0.0
sruthyy._,sruthii._,0,0,55,0,3086,722,0,9,0,1,10,16,6864,884,9.0,10,686.4
nabeel__muhd,NABEEL MUHMD🧞‍♂️,0,0,87,1,4125,2225,1,52,1,0,245,16,6549,401,16.0,12,545.75
trollkoyilandy,Tʀᴏʟʟ Kᴏʏɪʟᴀɴᴅʏ Oғғɪᴄɪᴀʟ,0,0,95,0,2213,11,1,1,1,0,164,0,5676,63,24.0,12,473.0
hadii._.122,𝘏𝘢𝘥𝘪,0,0,1,0,3263,851,0,2,1,0,6,8,3684,395,4.0,6,614.0
the_rider_of_kl_65,rider of kl 65,0,0,31,0,1701,5134,0,12,0,0,89,158,2673,519,14.0,12,222.75
__siyaaz,Mohammed siyaz,0,0,25,0,1953,1916,1,8,1,0,62,11,4789,512,14.0,12,399.0833333333333
ashishj_violin,Ashish Jagan,0,0,71,1,1105,1861,1,0,1,0,93,0,2332,374,12.0,12,194.33333333333334
higram.in,HiGram,0,0,0,1,3762,2049,0,7,1,0,37,1,376,11,6.0,12,31.333333333333332
af__l_u_,A F L A H,0,1,1,0,3289,1084,1,14,1,0,22,21,6434,411,9.0,12,536.1666666666666
