username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
kokokokokoko3938,0,0,1,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0
manimaran911,manimaran,0,0,18,0,90,1394,0,4,0,1,1,0,9,0,9,1,9
_hyper_kyd_,AKASH,0,1,24,0,472,79,0,2,1,0,2,0,426,49,5,2,213
zabbbbbb87,zab,0,0,21,0,28,106,1,0,1,0,10,0,42,8,3,10,4.2
the_uniqueheart__,Shane varghese,0,0,0,0,10,98,0,0,0,1,0,0,0,0,14,0,0
trippymind3,sonu,0,1,0,0,8,49,0,0,0,0,0,0,0,0,4,0,0
abuzada641,0,0,0,0,0,26,1151,0,0,0,0,2,0,2,0,0,2,1
ml_smooth,0,0,1,24,0,115,553,0,0,0,0,0,0,0,0,0,0,0
joe_myself215,««j_O_£^__Geørgê_»»,0,1,37,0,140,713,0,0,0,0,0,0,0,0,20,0,0
nandhukrishnaa,n_k_,0,1,0,0,187,217,0,0,0,0,1,0,55,4,4,1,55
silent_boykl68,SiLeNt_boy,0,0,24,0,355,949,1,1,1,0,24,9,471,29,10,12,39.25
sai_bava_,Megatron,0,1,0,0,5,119,0,0,0,0,0,0,0,0,8,0,0
kamukan966,kamukan,0,0,112,0,35,316,0,0,0,0,12,0,97,11,7,12,8.083333333
kandhari7911,0,0,1,0,0,53,513,0,0,0,0,0,0,0,0,0,0,0
_how_to_train_a_dragon___,trainer,0,1,0,0,702,284,0,0,0,0,0,0,0,0,7,0,0
dhduisjshsydue,0,0,1,0,0,5,44,0,0,0,0,0,0,0,0,0,0,0
mr_ambady66,mr ambadi,0,0,0,0,98,303,1,0,0,0,11,0,266,15,9,11,24.18181818
ajeershaajmal,Ajeersha Ajmal,0,1,0,0,24,152,0,0,0,0,0,0,0,0,14,0,0
rishad_v_k,Rishad_V_K,0,0,0,0,47,29,0,0,0,1,1,0,2,0,10,1,2
adhars.h__,ADHARSH⚡,0,1,1,0,16,22,0,0,0,0,0,0,0,0,8,0,0
abhinand.hari,abhinand hari,0,1,0,0,11,59,0,0,0,0,0,0,0,0,13,0,0
1769asa,Anita yadav,0,0,0,0,101,20,0,0,0,0,0,0,0,0,11,0,0
safal.safal.3745496,Safal Safal,0,1,0,0,10,66,0,0,0,0,0,0,0,0,11,0,0
smokie_______.________________,SMOKIE,0,1,0,0,14,48,0,0,0,0,0,0,0,0,6,0,0
cut_of_rider,Gokul S,0,0,121,0,169,561,0,0,0,0,0,0,0,0,7,0,0
hakkeem__8807,AbdulHakkeem,0,1,0,0,80,252,0,0,0,0,0,0,0,0,12,0,0
visakh8253,V!$@Kh,0,1,0,0,58,634,0,0,0,0,0,0,0,0,6,0,0
